 id, jobs, machines, opt, makespan, guaranteed_ratio, runtime_ms, approximation_alg, fptas_alg, shelves_alg, nb_big_jobs, nb_small_jobs
 1745073864436,1000,1324,66.5962297030446,95.0,RATIO_10_7,10267,TwoApproximation,CompressionApproach,OhnesorgeApproach,838,162
 1745073878167,1000,1507,60.39611600737896,86.0,RATIO_10_7,13405,TwoApproximation,CompressionApproach,OhnesorgeApproach,857,143
 1745073898999,1000,1294,67.63003288870433,96.0,RATIO_10_7,10276,TwoApproximation,CompressionApproach,OhnesorgeApproach,835,165
 1745073911748,1000,1961,53.230476562251006,76.0,RATIO_10_7,19194,TwoApproximation,CompressionApproach,OhnesorgeApproach,913,88
 1745073933688,1000,840,84.71923348563058,121.0,RATIO_10_7,6122,TwoApproximation,CompressionApproach,OhnesorgeApproach,726,275
 1745073942190,1000,1149,71.22866223686357,101.0,RATIO_10_7,9018,TwoApproximation,CompressionApproach,OhnesorgeApproach,830,170
 1745073953714,1000,1465,63.63938541347255,90.0,RATIO_10_7,16161,TwoApproximation,CompressionApproach,OhnesorgeApproach,851,149
 1745073972436,1000,1433,63.43662623467348,90.0,RATIO_10_7,13572,TwoApproximation,CompressionApproach,OhnesorgeApproach,856,144
 1745073988506,1000,1861,55.28236901612772,78.0,RATIO_10_7,17857,TwoApproximation,CompressionApproach,OhnesorgeApproach,894,106
 1745074008893,1000,724,92.03549291284045,131.0,RATIO_10_7,5545,TwoApproximation,CompressionApproach,OhnesorgeApproach,677,324
 1745074016836,1000,1604,59.02061154717519,84.0,RATIO_10_7,18870,TwoApproximation,CompressionApproach,OhnesorgeApproach,880,121
 1745074038146,1000,1300,67.0478292611929,95.0,RATIO_10_7,11712,TwoApproximation,CompressionApproach,OhnesorgeApproach,816,185
 1745074052296,1000,1969,53.41827547568364,76.0,RATIO_10_7,20723,TwoApproximation,CompressionApproach,OhnesorgeApproach,901,99
 1745074075593,1000,1607,60.34405975246845,86.0,RATIO_10_7,12608,TwoApproximation,CompressionApproach,OhnesorgeApproach,868,133
 1745074090649,1000,1448,65.24016180618034,93.0,RATIO_10_7,12154,TwoApproximation,CompressionApproach,OhnesorgeApproach,841,160
 1745074106133,1000,896,81.89592020852226,116.0,RATIO_10_7,6689,TwoApproximation,CompressionApproach,OhnesorgeApproach,721,280
