InstanceID,"_id","_index","_score","_type",achivedMakespan,approximation,bigJobs,estimatedOptimum,fptas,jobs,machines,milliseconds,shelvesAlgo,smallJobs
"1,677,349,181,271",6ugsioYBidAx9Qr1Lyxf,"radix-testdata-2023-02-25",1,"_doc",57,TwoApproximation,35,"38.137",DoubleCompressionApproach,35,53,"5,558",KilianApproach,0
"1,677,349,186,843","6-gsioYBidAx9Qr1Lyxf","radix-testdata-2023-02-25",1,"_doc",58,TwoApproximation,35,"40.382",DoubleCompressionApproach,36,55,"7,921",KilianApproach,1
"1,677,349,194,778",7OgsioYBidAx9Qr1Lyxf,"radix-testdata-2023-02-25",1,"_doc",78,TwoApproximation,47,"52.492",DoubleCompressionApproach,49,57,"6,286",KilianApproach,2
"1,677,349,201,081",7egsioYBidAx9Qr1Lyxf,"radix-testdata-2023-02-25",1,"_doc",46,TwoApproximation,31,"31.451",DoubleCompressionApproach,31,59,"8,287",KilianApproach,0
"1,677,349,209,381",7ugsioYBidAx9Qr1Lyxf,"radix-testdata-2023-02-25",1,"_doc",74,TwoApproximation,39,"49.666",DoubleCompressionApproach,42,50,"5,115",KilianApproach,3
"1,677,349,215,802","7-gsioYBidAx9Qr1Lyxf","radix-testdata-2023-02-25",1,"_doc",58,TwoApproximation,40,"40.542",DoubleCompressionApproach,41,59,"9,008",KilianApproach,1
"1,677,349,224,824",8OgsioYBidAx9Qr1Lyxf,"radix-testdata-2023-02-25",1,"_doc",45,TwoApproximation,36,"29.528",DoubleCompressionApproach,36,68,"12,641",KilianApproach,0
"1,677,349,237,480",8egsioYBidAx9Qr1Lyxf,"radix-testdata-2023-02-25",1,"_doc",39,TwoApproximation,34,"26.51",DoubleCompressionApproach,34,69,"14,701",KilianApproach,0
"1,677,349,252,190",8ugsioYBidAx9Qr1Lyxf,"radix-testdata-2023-02-25",1,"_doc",71,TwoApproximation,42,"47.482",DoubleCompressionApproach,46,55,"8,492",KilianApproach,4
"1,677,349,260,698","8-gsioYBidAx9Qr1Lyxf","radix-testdata-2023-02-25",1,"_doc",60,TwoApproximation,45,"40.753",DoubleCompressionApproach,48,65,"9,667",KilianApproach,3
"1,677,349,330,379",9OgsioYBidAx9Qr1Lyxf,"radix-testdata-2023-02-25",1,"_doc",71,TwoApproximation,48,"47.984",DoubleCompressionApproach,49,61,"9,777",KilianApproach,1
"1,677,349,340,170",9egsioYBidAx9Qr1Lyxf,"radix-testdata-2023-02-25",1,"_doc",68,TwoApproximation,49,"45.686",DoubleCompressionApproach,49,65,"9,677",KilianApproach,0
"1,677,349,349,861",9ugsioYBidAx9Qr1Lyxf,"radix-testdata-2023-02-25",1,"_doc",45,TwoApproximation,37,"30.321",DoubleCompressionApproach,37,68,"14,856",KilianApproach,0
"1,677,349,364,728","9-gsioYBidAx9Qr1Lyxf","radix-testdata-2023-02-25",1,"_doc",62,TwoApproximation,46,"41.856",DoubleCompressionApproach,47,69,"13,527",KilianApproach,1
"1,677,349,378,269","-OgsioYBidAx9Qr1Lyxf","radix-testdata-2023-02-25",1,"_doc",70,TwoApproximation,45,"47.196",DoubleCompressionApproach,46,61,"9,762",KilianApproach,1
"1,677,349,389,321","-egsioYBidAx9Qr1Lyxf","radix-testdata-2023-02-25",1,"_doc",53,TwoApproximation,37,"37.111",DoubleCompressionApproach,37,60,"9,030",KilianApproach,0
"1,677,349,398,362","-ugsioYBidAx9Qr1Lyxf","radix-testdata-2023-02-25",1,"_doc",72,TwoApproximation,41,"48.57",DoubleCompressionApproach,42,52,"5,053",KilianApproach,1
"1,677,349,403,427","--gsioYBidAx9Qr1Lyxf","radix-testdata-2023-02-25",1,"_doc",48,TwoApproximation,34,"33.664",DoubleCompressionApproach,34,59,"10,407",KilianApproach,0
"1,677,349,413,845","_OgsioYBidAx9Qr1Lyxf","radix-testdata-2023-02-25",1,"_doc",73,TwoApproximation,46,"48.289",DoubleCompressionApproach,48,61,"11,292",KilianApproach,2
"1,677,349,425,151","_egsioYBidAx9Qr1Lyxf","radix-testdata-2023-02-25",1,"_doc",60,TwoApproximation,47,"40.448",DoubleCompressionApproach,47,66,"11,846",KilianApproach,0
"1,677,349,437,010","_ugsioYBidAx9Qr1Lyxf","radix-testdata-2023-02-25",1,"_doc",82,TwoApproximation,45,"54.968",DoubleCompressionApproach,48,50,"4,392",KilianApproach,3
"1,677,349,441,414","_-gsioYBidAx9Qr1Lyxf","radix-testdata-2023-02-25",1,"_doc",74,TwoApproximation,39,"49.911",DoubleCompressionApproach,41,51,"5,179",KilianApproach,2
"1,677,349,446,605",AOgsioYBidAx9Qr1Ly1f,"radix-testdata-2023-02-25",1,"_doc",41,TwoApproximation,33,"27.91",DoubleCompressionApproach,33,66,"13,940",KilianApproach,0
"1,677,349,460,559",AegsioYBidAx9Qr1Ly1f,"radix-testdata-2023-02-25",1,"_doc",59,TwoApproximation,43,"39.092",DoubleCompressionApproach,43,68,"12,967",KilianApproach,0
"1,677,349,473,532",AugsioYBidAx9Qr1Ly1f,"radix-testdata-2023-02-25",1,"_doc",73,TwoApproximation,39,"50.532",DoubleCompressionApproach,44,50,"4,869",KilianApproach,5
"1,677,349,479,670","A-gsioYBidAx9Qr1Ly1f","radix-testdata-2023-02-25",1,"_doc",46,TwoApproximation,36,"31.437",DoubleCompressionApproach,36,69,"14,042",KilianApproach,0
"1,677,349,493,723",BOgsioYBidAx9Qr1Ly1f,"radix-testdata-2023-02-25",1,"_doc",55,TwoApproximation,47,"37.141",DoubleCompressionApproach,47,68,"12,763",KilianApproach,0
"1,677,349,506,498",BegsioYBidAx9Qr1Ly1f,"radix-testdata-2023-02-25",1,"_doc",57,TwoApproximation,37,"38.621",DoubleCompressionApproach,37,57,"6,863",KilianApproach,0
"1,677,349,513,371",BugsioYBidAx9Qr1Ly1f,"radix-testdata-2023-02-25",1,"_doc",53,TwoApproximation,32,"34.894",DoubleCompressionApproach,32,55,"7,587",KilianApproach,0
"1,677,349,520,967","B-gsioYBidAx9Qr1Ly1f","radix-testdata-2023-02-25",1,"_doc",61,TwoApproximation,32,"40.845",DoubleCompressionApproach,32,50,"3,830",KilianApproach,0
"1,677,349,584,809",COgsioYBidAx9Qr1Ly1f,"radix-testdata-2023-02-25",1,"_doc",48,TwoApproximation,40,"32.213",DoubleCompressionApproach,40,61,"11,832",KilianApproach,0
